"service_id","date","exception_type"
1,20201017,1
1,20201024,1
1,20201018,1
1,20201025,1
2,20201017,1
2,20201024,1
3,20201018,1
3,20201025,1
4,20201016,1
4,20201023,1
4,20201017,1
4,20201024,1
4,20201018,1
4,20201025,1
5,20201016,1
5,20201023,1
5,20201017,1
5,20201024,1
6,20201016,1
6,20201023,1
7,20201010,1
7,20201031,1
7,20201011,1
7,20201101,1
8,20201010,1
8,20201031,1
9,20201011,1
9,20201101,1
10,20201024,1
10,20201025,1
11,20201017,1
11,20201018,1
12,20201024,1
13,20201025,1
14,20201018,1
15,20201024,1
15,20201018,1
15,20201025,1
16,20201023,1
16,20201024,1
16,20201025,1
17,20201023,1
17,20201024,1
18,20201016,1
18,20201017,1
19,20201017,1
20,20201016,1
20,20201017,1
20,20201018,1
22,20201017,1
22,20201024,1
23,20201212,1
24,20201009,2
24,20201030,2
25,20201019,2
25,20201026,2
27,20201009,1
27,20201030,1
29,20201018,1
29,20201025,1
30,20201212,2
31,20201017,2
31,20201024,2
32,20201018,2
32,20201025,2
34,20201019,1
34,20201026,1
35,20201109,1
35,20201110,1
35,20201111,1
35,20201112,1
36,20201113,1
36,20201114,1
37,20201114,1
38,20201102,1
39,20201010,2
39,20201017,2
39,20201024,2
39,20201031,2
40,20201011,2
40,20201018,2
40,20201025,2
40,20201101,2
41,20201102,2
42,20201010,2
42,20201017,2
42,20201024,2
42,20201031,2
42,20201011,2
42,20201018,2
42,20201025,2
42,20201101,2
43,20201102,2
43,20201010,2
43,20201017,2
43,20201024,2
43,20201031,2
43,20201011,2
43,20201018,2
43,20201025,2
43,20201101,2
44,20201010,2
44,20201017,2
44,20201024,2
44,20201031,2
44,20201011,2
44,20201018,2
44,20201025,2
44,20201101,2
45,20201130,1
45,20201207,1
45,20201103,1
45,20201201,1
45,20201208,1
45,20201104,1
45,20201202,1
45,20201209,1
45,20201105,1
45,20201203,1
45,20201210,1
45,20201106,1
45,20201204,1
45,20201211,1
46,20201009,1
47,20201012,1
47,20201019,1
47,20201026,1
47,20201013,1
47,20201020,1
47,20201027,1
47,20201014,1
47,20201021,1
47,20201028,1
47,20201008,1
47,20201015,1
47,20201022,1
47,20201029,1
47,20201016,1
47,20201023,1
47,20201030,1
48,20201109,1
48,20201116,1
48,20201123,1
48,20201110,1
48,20201117,1
48,20201124,1
48,20201111,1
48,20201118,1
48,20201125,1
48,20201112,1
48,20201119,1
48,20201126,1
48,20201113,1
48,20201120,1
48,20201127,1
49,20201106,1
49,20201204,1
49,20201211,1
50,20201130,1
50,20201207,1
50,20201103,1
50,20201201,1
50,20201208,1
50,20201104,1
50,20201202,1
50,20201209,1
50,20201105,1
50,20201203,1
50,20201210,1
51,20201030,1
52,20201012,1
52,20201019,1
52,20201026,1
52,20201013,1
52,20201020,1
52,20201027,1
52,20201014,1
52,20201021,1
52,20201028,1
52,20201008,1
52,20201015,1
52,20201022,1
52,20201029,1
52,20201016,1
52,20201023,1
53,20201113,1
53,20201120,1
53,20201127,1
54,20201109,1
54,20201116,1
54,20201123,1
54,20201110,1
54,20201117,1
54,20201124,1
54,20201111,1
54,20201118,1
54,20201125,1
54,20201112,1
54,20201119,1
54,20201126,1
55,20201026,1
56,20201114,1
56,20201115,1
57,20201115,1
58,20201113,1
58,20201114,1
58,20201115,1
59,20201109,1
59,20201110,1
59,20201111,1
59,20201112,1
59,20201113,1
60,20201109,1
60,20201110,1
61,20201111,1
61,20201112,1
62,20201121,1
62,20201128,1
62,20201122,1
63,20201122,1
64,20201116,1
64,20201123,1
64,20201117,1
64,20201124,1
64,20201118,1
64,20201125,1
64,20201119,1
64,20201126,1
64,20201120,1
64,20201127,1
65,20201116,1
65,20201117,1
65,20201118,1
65,20201119,1
65,20201120,1
66,20201116,1
66,20201123,1
66,20201117,1
66,20201124,1
66,20201118,1
66,20201125,1
66,20201119,1
66,20201126,1
66,20201120,1
66,20201127,1
66,20201121,1
66,20201128,1
67,20201116,1
67,20201123,1
67,20201117,1
67,20201124,1
67,20201118,1
67,20201125,1
67,20201119,1
67,20201126,1
67,20201120,1
67,20201127,1
67,20201121,1
67,20201128,1
67,20201122,1
68,20201116,1
68,20201117,1
69,20201116,1
69,20201123,1
69,20201117,1
69,20201124,1
69,20201118,1
69,20201125,1
69,20201119,1
69,20201126,1
69,20201120,1
69,20201127,1
69,20201121,1
69,20201122,1
70,20201118,1
70,20201119,1
70,20201120,1
71,20201120,1
71,20201127,1
71,20201121,1
72,20201120,1
73,20201009,1
73,20201030,1
73,20201010,1
73,20201031,1
73,20201011,1
73,20201101,1
74,20201009,1
74,20201030,1
74,20201010,1
74,20201031,1
75,20201014,1
76,20201030,1
76,20201010,1
76,20201031,1
76,20201011,1
76,20201101,1
77,20201030,1
77,20201010,1
77,20201031,1
78,20201009,2
79,20201023,1
80,20201031,1
80,20201101,1
81,20201031,1
82,20201101,1
83,20201030,1
83,20201031,1
83,20201101,1
84,20201030,1
84,20201031,1
85,20201128,1
86,20201127,1
86,20201128,1
87,20201102,1
88,20201102,1
89,20201102,2
91,20201026,2
92,20201026,2
92,20201212,2
93,20201212,2
95,20201102,1
96,20201102,2
97,20201012,1
97,20201019,1
97,20201026,1
97,20201013,1
97,20201020,1
97,20201027,1
97,20201014,1
97,20201021,1
97,20201028,1
97,20201008,1
97,20201015,1
97,20201022,1
97,20201029,1
98,20201016,1
98,20201023,1
98,20201030,1
99,20201013,1
99,20201020,1
100,20201017,2
100,20201024,2
100,20201212,2
100,20201018,2
100,20201025,2
101,20201009,2
101,20201016,2
101,20201023,2
101,20201017,2
101,20201024,2
101,20201212,2
102,20201016,2
102,20201023,2
102,20201017,2
102,20201024,2
102,20201212,2
103,20201020,1
104,20201009,2
104,20201016,2
104,20201023,2
104,20201030,2
104,20201010,2
104,20201017,2
104,20201024,2
104,20201031,2
104,20201212,2
105,20201013,1
106,20201108,1
106,20201129,1
106,20201206,1
107,20201130,1
107,20201207,1
107,20201103,1
107,20201201,1
107,20201208,1
107,20201104,1
107,20201202,1
107,20201209,1
107,20201105,1
107,20201203,1
107,20201210,1
107,20201106,1
107,20201204,1
107,20201211,1
107,20201107,1
107,20201205,1
107,20201108,1
107,20201129,1
107,20201206,1
108,20201130,1
108,20201207,1
108,20201103,1
108,20201201,1
108,20201208,1
108,20201104,1
108,20201202,1
108,20201209,1
108,20201105,1
108,20201203,1
108,20201210,1
108,20201108,1
108,20201129,1
108,20201206,1
109,20201107,1
109,20201205,1
110,20201130,1
110,20201207,1
110,20201103,1
110,20201201,1
110,20201208,1
110,20201104,1
110,20201202,1
110,20201209,1
110,20201105,1
110,20201203,1
110,20201210,1
110,20201106,1
110,20201204,1
110,20201211,1
110,20201107,1
110,20201205,1
111,20201012,1
111,20201019,1
111,20201026,1
111,20201013,1
111,20201020,1
111,20201027,1
111,20201014,1
111,20201021,1
111,20201028,1
111,20201008,1
111,20201015,1
111,20201022,1
111,20201029,1
111,20201016,1
111,20201023,1
111,20201030,1
111,20201010,1
111,20201031,1
112,20201012,1
112,20201019,1
112,20201026,1
112,20201013,1
112,20201020,1
112,20201027,1
112,20201014,1
112,20201021,1
112,20201028,1
112,20201008,1
112,20201015,1
112,20201022,1
112,20201029,1
112,20201016,1
112,20201023,1
112,20201030,1
112,20201010,1
112,20201031,1
112,20201011,1
112,20201101,1
113,20201012,1
113,20201019,1
113,20201026,1
113,20201027,1
113,20201021,1
113,20201028,1
113,20201008,1
113,20201015,1
113,20201022,1
113,20201029,1
113,20201030,1
113,20201010,1
113,20201031,1
113,20201011,1
113,20201101,1
114,20201012,1
114,20201019,1
114,20201026,1
114,20201013,1
114,20201027,1
114,20201021,1
114,20201028,1
114,20201008,1
114,20201015,1
114,20201022,1
114,20201029,1
114,20201011,1
114,20201101,1
115,20201012,1
115,20201019,1
115,20201026,1
115,20201027,1
115,20201021,1
115,20201028,1
115,20201008,1
115,20201015,1
115,20201022,1
115,20201029,1
115,20201011,1
115,20201101,1
116,20201016,1
117,20201016,1
117,20201030,1
117,20201010,1
117,20201017,1
117,20201031,1
118,20201012,1
118,20201019,1
118,20201026,1
118,20201020,1
118,20201027,1
118,20201014,1
118,20201021,1
118,20201028,1
118,20201008,1
118,20201015,1
118,20201022,1
118,20201029,1
118,20201016,1
118,20201023,1
118,20201030,1
118,20201010,1
118,20201031,1
118,20201011,1
118,20201101,1
119,20201012,1
119,20201019,1
119,20201026,1
119,20201013,1
119,20201027,1
119,20201014,1
119,20201021,1
119,20201028,1
119,20201008,1
119,20201015,1
119,20201022,1
119,20201029,1
119,20201011,1
119,20201101,1
120,20201109,1
120,20201116,1
120,20201123,1
120,20201110,1
120,20201117,1
120,20201124,1
120,20201111,1
120,20201118,1
120,20201125,1
120,20201112,1
120,20201119,1
120,20201126,1
120,20201113,1
120,20201120,1
120,20201127,1
120,20201114,1
120,20201121,1
120,20201128,1
121,20201109,1
121,20201116,1
121,20201123,1
121,20201110,1
121,20201117,1
121,20201124,1
121,20201111,1
121,20201118,1
121,20201125,1
121,20201112,1
121,20201119,1
121,20201126,1
121,20201113,1
121,20201120,1
121,20201127,1
121,20201114,1
121,20201121,1
121,20201128,1
121,20201115,1
121,20201122,1
122,20201109,1
122,20201116,1
122,20201123,1
122,20201110,1
122,20201117,1
122,20201124,1
122,20201111,1
122,20201118,1
122,20201125,1
122,20201112,1
122,20201119,1
122,20201126,1
122,20201115,1
122,20201122,1
123,20201115,1
123,20201122,1
124,20201114,1
124,20201121,1
124,20201128,1
125,20201012,1
125,20201019,1
125,20201026,1
125,20201013,1
125,20201020,1
125,20201027,1
125,20201014,1
125,20201021,1
125,20201028,1
125,20201008,1
125,20201015,1
125,20201022,1
125,20201029,1
125,20201023,1
125,20201030,1
126,20201102,2
126,20201013,2
126,20201020,2
126,20201018,2
126,20201025,2
127,20201019,1
128,20201102,2
128,20201013,2
128,20201020,2
129,20201130,1
129,20201207,1
129,20201103,1
129,20201201,1
129,20201208,1
129,20201104,1
129,20201202,1
129,20201209,1
129,20201105,1
129,20201203,1
129,20201210,1
129,20201107,1
129,20201205,1
129,20201108,1
129,20201129,1
129,20201206,1
130,20201107,1
130,20201205,1
130,20201108,1
130,20201129,1
130,20201206,1
131,20201106,1
131,20201204,1
131,20201211,1
131,20201107,1
131,20201205,1
132,20201107,1
132,20201205,1
132,20201212,1
132,20201108,1
132,20201129,1
132,20201206,1
133,20201010,1
133,20201017,1
133,20201024,1
133,20201031,1
133,20201011,1
133,20201018,1
133,20201025,1
133,20201101,1
134,20201016,1
134,20201023,1
134,20201030,1
134,20201010,1
134,20201017,1
134,20201031,1
135,20201016,1
135,20201023,1
135,20201030,1
135,20201010,1
135,20201017,1
135,20201024,1
