"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000008012713,000008012713,2,300,,,,
000008012713,300000005271,2,180,,,,
000008010205,000008010205,2,300,,,,
000008010205,000008098205,2,300,,,,
000008010327,000008010327,2,300,,,,
000008010324,000008010324,2,300,,,,
000008010324,710009550112,2,300,,,,
000008012393,000008012393,2,300,,,,
000008011756,000008011756,2,300,,,,
000008011756,390094353391,2,180,,,,
000008011471,000008011471,2,300,,,,
000008011471,000008011471,2,300,19038_100,19723_700,,
000008011471,650030890101,2,180,,,,
000008011471,650030890103,2,180,,,,
000008011238,000008011238,2,300,,,,
000008011238,450009222030,2,180,,,,
000008011238,250000085101,2,180,,,,
000008012666,000008012666,2,360,,,,
000008012666,060023005896,2,240,,,,
000008012666,060023005897,2,240,,,,
000008012666,300000000408,2,240,,,,
000008012666,270000042301,2,240,,,,
000008012666,270000042302,2,240,,,,
000008012666,450009230999,2,240,,,,
000008012666,270000042303,2,240,,,,
000008012666,270000042304,2,240,,,,
000008012666,100000110506,2,240,,,,
000008012666,100000110509,2,240,,,,
000008012666,100000110503,2,240,,,,
000008012666,270000042351,2,240,,,,
000008012666,270000042305,2,240,,,,
000008012666,270000042306,2,240,,,,
000008012666,270000042307,2,240,,,,
000008012666,250000110508,2,240,,,,
000008012666,250000110509,2,240,,,,
000008012666,250000110503,2,240,,,,
000008012666,250000110505,2,240,,,,
000008012666,300000000406,2,240,,,,
000008012666,250000110506,2,240,,,,
000008012428,000008012428,2,300,,,,
000008010279,000008010279,2,300,,,,
000008010279,270000008003,2,180,,,,
000008010279,270000008004,2,180,,,,
000008010279,270000008001,2,180,,,,
000008010279,270000008002,2,180,,,,
000008010318,000008010318,2,300,,,,
000008010036,000008010036,2,360,,,,
000008010036,450009160004,2,240,,,,
000008010036,710009160004,2,240,,,,
000008010036,060160004691,2,360,,,,
000008010036,060160004692,2,360,,,,
000008010031,000008010031,2,300,,,,
000008010031,250000000202,2,180,,,,
000008010031,250000000201,2,180,,,,
000008010031,250000000203,2,180,,,,
000008012381,000008012381,2,300,,,,
000008011740,000008011740,2,300,,,,
000008011740,300000003961,2,240,,,,
000008011740,300000003962,2,240,,,,
000008011740,710009245032,2,240,,,,
000008011749,000008011749,2,300,,,,
000008011460,000008011460,2,300,,,,
000008012656,000008012656,2,300,,,,
000008012650,000008012650,2,300,,,,
000008011188,000008011188,2,300,,,,
000008011188,750000329901,2,180,,,,
000008011188,450009350137,2,180,,,,
000008012413,000008012413,2,300,,,,
000008012413,130000810001,2,180,,,,
000008012413,130000810002,2,180,,,,
000008012413,450009200043,2,180,,,,
000008012418,000008012418,2,300,,,,
000008012418,500000056301,2,180,,,,
000008012418,500000056302,2,180,,,,
000008010268,000008010268,2,300,,,,
000008010302,000008010302,2,300,,,,
000008010308,000008010308,2,300,,,,
000008010308,000008010308,2,180,,,127273726,127273699
000008010308,000008010308,2,180,,,127273727,127273699
000008010308,000008010308,2,180,,,127273728,127273700
000008010308,000008010308,2,180,,,127273729,127273701
000008010308,000008010308,2,180,,,127273730,127273702
000008010308,000008010308,2,180,,,127273731,127273703
000008010308,000008010308,2,180,,,127273732,127273704
000008010308,000008010308,2,180,,,127273733,127273705
000008010308,000008010308,2,240,,,127273734,127273698
000008010308,000008010308,2,180,,,127273734,127273706
000008012096,000008012096,2,600,,,,
000008012096,130000825001,2,180,,,,
000008011572,000008011572,2,300,,,,
000008011210,000008011210,2,300,,,,
000008011210,300000001851,2,180,,,,
000008011210,300000001852,2,180,,,,
000008011334,000008011334,2,300,,,,
000008011334,300000002271,2,180,,,,
000008011334,300000002273,2,180,,,,
000008010255,000008010255,2,300,,,,
000008010255,060120005008,2,240,,,,
000008010255,060120005009,2,240,,,,
000008010255,060120005010,2,240,,,,
000008010255,060120005011,2,240,,,,
000008010255,710009120005,2,240,,,,
000008010255,070101005131,2,300,,,,
000008010255,070101005623,2,300,,,,
000008010255,070101005624,2,300,,,,
000008010255,070101006718,2,300,,,,
000008010250,000008010250,2,300,,,,
000008010250,000008010250,2,180,,,127273657,127273567
000008010250,000008010250,2,180,,,127273657,127273568
000008010250,000008010250,2,180,,,127273658,127273568
000008010250,000008010250,2,240,19059_100,19059_100,,
000008010376,000008010376,2,300,,,,
000008010376,250000028101,2,300,,,,
000008010376,250000028101,2,120,19049_100,18887_3,,
000008010376,250000028101,2,120,19049_100,18887_700,,
000008010376,250000028102,2,300,,,,
000008010376,250000028102,2,120,19049_100,18887_3,,
000008010376,250000028102,2,120,19049_100,18887_700,,
000008010377,000008010377,2,300,,,,
000008010377,270000007601,2,180,,,,
000008010377,270000007602,2,180,,,,
000008010377,270000007604,2,180,,,,
000008010377,250000122103,2,180,,,,
000008010377,250000122104,2,180,,,,
000008010373,000008010373,2,300,,,,
000008010373,250000331201,2,180,,,,
000008010373,250000331205,2,180,,,,
000008010373,250000331202,2,180,,,,
000008010378,000008010378,2,300,,,,
000008010378,710009220006,2,180,,,,
000008010018,000008010018,2,300,,,,
000008010018,710009950003,2,300,,,,
000008012084,000008012084,2,300,,,,
000008012084,640000003721,2,180,,,,
000008012084,640000003722,2,180,,,,
000008012083,000008012083,2,300,,,,
000008012083,640000007821,2,180,,,,
000008012083,640000007822,2,180,,,,
000008012083,710009445884,2,240,,,,
000008012083,710099445884,2,180,,,,
000008010139,000008010139,2,300,,,,
000008012089,000008012089,2,300,,,,
