route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,"West Edmonton Mall - Downtown - Capilano",,3,,,
10,1,10,"Clareview - Belvedere - LON - Coliseum",,3,,,
100,1,100,"Lewis Farms - Downtown",,3,,,
101,1,101,"West Edmonton Mall - Wedgewood",,3,,,
102,1,102,"Southbound West Edmonton Mall - Lymburn",,3,,,
103,1,103,"West Edmonton Mall to Cameron Heights",,3,,,
104,1,104,"West Lymburn - South Campus/Fort Edmonton",,3,,,
105,1,105,"Lessard to South Campus/Fort Edmonton",,3,,,
106,1,106,"University - Lessard",,3,,,
107,1,107,"West Edmonton Mall - Wolf Willow Loop",,3,,,
108,1,108,"Lewis Farms - Potter Greens",,3,,,
109,1,109,"West Edmonton Mall - Jasper Place - Downtown",,3,,,
11,1,11,"Clareview - Londonderry - Northgate",,3,,,
110,1,110,"West Edmonton Mall - Wolf Willow -Lessard",,3,,,
111,1,111,"Downtown - West Edmonton Mall",,3,,,
112,1,112,"West Edmonton Mall -  Capilano",,3,,,
113,1,113,"West Edmonton Mall - Jasper Place",,3,,,
114,1,114,"Jasper Place - Westview Village",,3,,,
115,1,115,"West Edmonton Mall - Northgate",,3,,,
117,1,117,"West Edmonton Mall - Lewis Farms - Hamptons",,3,,,
118,1,118,"Jasper Place - Rio Terrace",,3,,,
119,1,119,"Lewis Farms - Hamptons",,3,,,
12,1,12,"Northgate - Wellington - Kingsway - RAH",,3,,,
120,1,120,"Jasper Place - Stadium",,3,,,
121,1,121,"Westmount - Northgate",,3,,,
122,1,122,"West Edmonton Mall - Westmount",,3,,,
123,1,123,"Jasper Place -  Westmount",,3,,,
124,1,124,"Westmount - Jasper Place",,3,,,
125,1,125,"Belvedere - Westmount - Jasper Place",,3,,,
126,1,126,"West Edmonton Mall - Westmount",,3,,,
128,1,128,"Government Centre - Castledowns",,3,,,
129,1,129,"West Edmonton Mall - Westmount",,3,,,
13,1,13,"Castle Downs - Northgate",,3,,,
130,1,130,"Northgate - Government Centre",,3,,,
133,1,133,"Lewis Farms - University",,3,,,
134,1,134,"Northgate - Downtown",,3,,,
