from_stop_id,to_stop_id,transfer_type,min_transfer_time
1166824,7932086,2,243
1166824,7932087,2,243
1166824,7932088,2,250
1166824,7932089,2,268
1166825,7932086,2,243
1166825,7932087,2,243
1166825,7932088,2,250
1166825,7932089,2,268
1166826,3887747,2,279
1166826,4798880,2,252
1166826,7898957,2,252
1166826,7898981,2,252
1166826,7932082,2,217
1166826,7932083,2,202
1166827,3887747,2,279
1166827,4798880,2,252
1166827,7898957,2,252
1166827,7898981,2,252
1166827,7932082,2,217
1166827,7932083,2,202
1166830,1956,2,180
1166830,2211,2,180
1166830,7898846,2,216
1166830,7898847,2,196
1166830,7920845,2,216
1166830,7920846,2,196
1166830,7964940,2,196
1166830,7964982,2,216
1166830,7965042,2,216
1166830,7965043,2,196
1166830,8219797,2,196
1166830,8219798,2,216
1166831,1956,2,180
1166831,2211,2,180
1166831,7898846,2,216
1166831,7898847,2,196
1166831,7920845,2,216
1166831,7920846,2,196
1166831,7964940,2,196
1166831,7964982,2,216
1166831,7965042,2,216
1166831,7965043,2,196
1166831,8219797,2,196
1166831,8219798,2,216
1166832,1955,2,420
1166832,1956,2,180
1166832,2210,2,240
1166832,2211,2,180
1166832,3926298,2,259
1166832,3926299,2,265
1166832,3926339,2,216
1166832,4036205,2,259
1166832,4036206,2,197
1166832,4036207,2,265
1166832,4036640,2,266
1166832,4037183,2,266
1166832,4037184,2,265
1166832,4044996,2,259
1166832,4459260,2,265
1166832,7898839,2,205
1166832,7898840,2,205
1166832,7898842,2,190
1166832,7898843,2,207
1166832,7900243,2,265
1166832,7920978,2,266
1166832,7920979,2,259
1166832,7931530,2,259
1166832,7931560,2,240
1166832,7964942,2,189
1166832,7964943,2,240
1166832,7964978,2,259
1166832,7964979,2,190
1166832,7964980,2,207
1166832,7965036,2,259
1166832,7965037,2,240
1166832,7965038,2,190
1166832,7965039,2,207
1166832,7965055,2,189
1166832,8219801,2,207
1166832,8219802,2,265
1166832,8219803,2,259
1166832,8219804,2,272
1166832,8219805,2,207
1166833,1955,2,420
1166833,1956,2,180
1166833,2210,2,240
1166833,2211,2,180
